,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
50,Data Engineer Expérimenté,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/data-engineer-exp%C3%A9riment%C3%A9-at-alten-maroc-4269624437?position=1&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=g8JD1KnsIZv7rmOr0%2BXw4Q%3D%3D,"bigquery, ci/cd, dbt, gcp, git, looker, scrum",data engineer
51,Consultant données/Consultante données,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/consultant-donn%C3%A9es-consultante-donn%C3%A9es-at-alten-maroc-4280135537?position=2&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=9kjqha0yNBNMIi1AF8VZ8w%3D%3D,"ci/cd, data pipeline, gcp, gitlab, google cloud, kubernetes, postgresql, python, scrum, terraform",autre
52,Mainframe MVS Software Engineer,PartnerOne,Maroc,https://ma.linkedin.com/jobs/view/mainframe-mvs-software-engineer-at-partnerone-4279012066?position=3&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=dhzzkPsQ1DFLT%2FxGC5OcjA%3D%3D,"kubernetes, linux",software engineer
53,Tech Lead SQL/Python | Devoteam Maroc Nearshore,Devoteam,Rabat,https://ma.linkedin.com/jobs/view/tech-lead-sql-python-devoteam-maroc-nearshore-at-devoteam-4238436652?position=4&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=7rgCS%2B8BzrMFn2o3KmT03Q%3D%3D,"bigquery, ci/cd, dbt, gcp, git, kubernetes, looker, python, scrum, sql",autre
54,Expert Data scientist,BROME Consulting & Technology,Casablanca,https://ma.linkedin.com/jobs/view/expert-data-scientist-at-brome-consulting-technology-4200186502?position=5&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=ZGHPb%2F5YrouyPKK%2FYCKuDw%3D%3D,,data scientist
55,Data Analytics - Data Science Team Lead - Casablanca,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/data-analytics-data-science-team-lead-casablanca-at-infomineo-4248019105?position=6&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=iZDzt6TBSTGfDO%2FpKsDSAQ%3D%3D,"aws, azure, docker, etl, google cloud, hadoop, ibm cloud, javascript, kafka, kubernetes, looker, machine learning, mongodb, nosql, power bi, python, r, snowflake, spark, sql, tableau",data scientist
56,Backend Developer - French Speakers,SSC HR Solutions,Marrakech,https://ma.linkedin.com/jobs/view/backend-developer-french-speakers-at-ssc-hr-solutions-4282118912?position=7&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=CkaP%2Bud9f6bwAInRpVTcLQ%3D%3D,"agile, bdd, django, docker, elasticsearch, git, gitlab, grpc, linux, python",web developer
57,Software Engineer Java,Société Générale,Casablanca,https://ma.linkedin.com/jobs/view/software-engineer-java-at-societe-generale-4195537608?position=8&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=0fHOjDwGRUQS1s7XMcEwQg%3D%3D,"agile, angular, docker, java, jenkins, kafka, kubernetes, oracle, postgresql, spark, spring boot, sql",software engineer
58,Software Vérification Engineer,Dedalus,Casablanca,https://ma.linkedin.com/jobs/view/software-v%C3%A9rification-engineer-at-dedalus-4269644827?position=9&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=zxKSuJWYeT3ItVM%2FhXmbow%3D%3D,"bdd, ci/cd, javascript, typescript",software engineer
59,Datascientist,CIH BANK,Casablanca,https://ma.linkedin.com/jobs/view/datascientist-at-cih-bank-3659272624?position=10&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=Z%2F7FCET9h6c9c1CargGXJA%3D%3D,,data scientist
60,Quantitative Risk Analyst / Data Analyst,CIH BANK,Casablanca,https://ma.linkedin.com/jobs/view/quantitative-risk-analyst-data-analyst-at-cih-bank-3980071335?position=1&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=2WrBNja9N7Cokc3UbciW8Q%3D%3D,,data analyst
61,IA and Data Manager / Data scientist,Adria Business & Technology,Casablanca,https://ma.linkedin.com/jobs/view/ia-and-data-manager-data-scientist-at-adria-business-technology-4264430281?position=2&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=EFJDvDdDckAUQIzMZYlA%2FQ%3D%3D,"computer vision, deep learning, flask, machine learning, python, scikit-learn, tensorflow",data scientist
62,.NET Software Engineer 123insight,Forterro,Casablanca,https://ma.linkedin.com/jobs/view/net-software-engineer-123insight-at-forterro-4270263755?position=3&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=LWdr1tD%2FErbh%2BPWA5lmn7A%3D%3D,"azure, c#, design patterns, git, sql",software engineer
63,Consultant GCP (H/F),Capgemini,Casablanca,https://ma.linkedin.com/jobs/view/consultant-gcp-h-f-at-capgemini-4267486205?position=4&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=TrBSO%2Fu%2BYupOAEVssCNjQQ%3D%3D,"airflow, bigquery, ci/cd, etl, gcp, gitlab, google cloud, machine learning, python, sql, terraform",autre
64,Azure DevOps Engineer - Tech Lead,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/azure-devops-engineer-tech-lead-at-lumenalta-4279525467?position=5&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=6k8pKxcrPFOnLMTIQo%2FWXg%3D%3D,"azure, ci/cd, etl, jenkins, kubernetes, postgresql, power bi, terraform",autre
